Year,SUMLEV,REGION,DIVISION,STATE,NAME,SEX,AGE,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV
2010,40,3,6,1,Alabama,1,37,28485,,,,
2010,40,3,6,1,Alabama,1,38,30303,,,,
2010,40,3,6,1,Alabama,1,39,31936,,,,
2010,40,3,6,1,Alabama,1,40,31623,,,,
2010,40,3,6,1,Alabama,1,41,29955,,,,
2010,40,3,6,1,Alabama,1,42,29134,,,,
2010,40,3,6,1,Alabama,1,43,29393,,,,
2010,40,3,6,1,Alabama,1,44,30591,,,,
2010,40,3,6,1,Alabama,1,45,32818,,,,
2010,40,3,6,1,Alabama,1,46,33431,,,,
2010,40,3,6,1,Alabama,1,47,33342,,,,
2010,40,3,6,1,Alabama,1,48,33734,,,,
2010,40,3,6,1,Alabama,1,49,34169,,,,
2010,40,3,6,1,Alabama,1,50,34614,,,,
2010,40,3,6,1,Alabama,1,51,33534,,,,
2010,40,3,6,1,Alabama,1,52,33590,,,,
2010,40,3,6,1,Alabama,1,53,33937,,,,
2010,40,3,6,1,Alabama,1,54,32932,,,,
2010,40,3,6,1,Alabama,1,55,32316,,,,
2010,40,3,6,1,Alabama,1,56,31140,,,,
2010,40,3,6,1,Alabama,1,57,29839,,,,
2010,40,3,6,1,Alabama,1,58,29100,,,,
2010,40,3,6,1,Alabama,1,59,28272,,,,
2010,40,3,6,1,Alabama,1,60,27921,,,,
2010,40,3,6,1,Alabama,1,61,27487,,,,
2010,40,3,6,1,Alabama,1,62,27617,,,,
2010,40,3,6,1,Alabama,1,63,28732,,,,
2010,40,3,6,1,Alabama,1,64,21056,,,,
2010,40,3,6,1,Alabama,1,65,20980,,,,
2010,40,3,6,1,Alabama,1,66,20750,,,,
2010,40,3,6,1,Alabama,1,67,21211,,,,
2010,40,3,6,1,Alabama,1,68,18347,,,,
2010,40,3,6,1,Alabama,1,69,16966,,,,
2010,40,3,6,1,Alabama,1,70,16251,,,,
2010,40,3,6,1,Alabama,1,71,15314,,,,
2010,40,3,6,1,Alabama,1,72,14603,,,,
2010,40,3,6,1,Alabama,1,73,13404,,,,
2010,40,3,6,1,Alabama,1,74,12915,,,,
2010,40,3,6,1,Alabama,1,75,12258,,,,
2010,40,3,6,1,Alabama,1,76,10942,,,,
2010,40,3,6,1,Alabama,1,77,10379,,,,
2010,40,3,6,1,Alabama,1,78,9697,,,,
2010,40,3,6,1,Alabama,1,79,8860,,,,
2010,40,3,6,1,Alabama,1,80,8360,,,,
2010,40,3,6,1,Alabama,1,81,7416,,,,
2010,40,3,6,1,Alabama,1,82,6773,,,,
2010,40,3,6,1,Alabama,1,83,6082,,,,
2010,40,3,6,1,Alabama,1,84,5263,,,,
2010,40,3,6,1,Alabama,1,85,23080,,,,
2010,40,3,6,1,Alabama,1,999,2308794,,,,
2010,40,3,6,1,Alabama,2,0,29461,,,,
2010,40,3,6,1,Alabama,2,1,29290,,,,
2010,40,3,6,1,Alabama,2,2,30506,,,,
2010,40,3,6,1,Alabama,2,3,30351,,,,
2010,40,3,6,1,Alabama,2,4,29996,,,,
2010,40,3,6,1,Alabama,2,5,29730,,,,
2010,40,3,6,1,Alabama,2,6,29667,,,,
2010,40,3,6,1,Alabama,2,7,29710,,,,
2010,40,3,6,1,Alabama,2,8,29965,,,,
2010,40,3,6,1,Alabama,2,9,31419,,,,
2010,40,3,6,1,Alabama,2,10,32000,,,,
2010,40,3,6,1,Alabama,2,11,31344,,,,
2010,40,3,6,1,Alabama,2,12,31330,,,,
2010,40,3,6,1,Alabama,2,13,30898,,,,
2010,40,3,6,1,Alabama,2,14,30938,,,,
2010,40,3,6,1,Alabama,2,15,31504,,,,
2010,40,3,6,1,Alabama,2,16,32267,,,,
2010,40,3,6,1,Alabama,2,17,32726,,,,
2010,40,3,6,1,Alabama,2,18,34003,,,,
2010,40,3,6,1,Alabama,2,19,36192,,,,
2010,40,3,6,1,Alabama,2,20,36695,,,,
2010,40,3,6,1,Alabama,2,21,34693,,,,
2010,40,3,6,1,Alabama,2,22,33271,,,,
2010,40,3,6,1,Alabama,2,23,32281,,,,
2010,40,3,6,1,Alabama,2,24,31847,,,,
2010,40,3,6,1,Alabama,2,25,31874,,,,
2010,40,3,6,1,Alabama,2,26,31087,,,,
2010,40,3,6,1,Alabama,2,27,31242,,,,
2010,40,3,6,1,Alabama,2,28,31336,,,,
2010,40,3,6,1,Alabama,2,29,31498,,,,
2010,40,3,6,1,Alabama,2,30,32200,,,,
2010,40,3,6,1,Alabama,2,31,30502,,,,
2010,40,3,6,1,Alabama,2,32,30150,,,,
2010,40,3,6,1,Alabama,2,33,30046,,,,
2010,40,3,6,1,Alabama,2,34,28968,,,,
2010,40,3,6,1,Alabama,2,35,30070,,,,
2010,40,3,6,1,Alabama,2,36,29646,,,,
2010,40,3,6,1,Alabama,2,37,30670,,,,
2010,40,3,6,1,Alabama,2,38,32056,,,,
2010,40,3,6,1,Alabama,2,39,33654,,,,
2010,40,3,6,1,Alabama,2,40,33168,,,,
2010,40,3,6,1,Alabama,2,41,31414,,,,
2010,40,3,6,1,Alabama,2,42,30759,,,,
2010,40,3,6,1,Alabama,2,43,30966,,,,
2010,40,3,6,1,Alabama,2,44,32084,,,,
2010,40,3,6,1,Alabama,2,45,34386,,,,
2010,40,3,6,1,Alabama,2,46,35095,,,,
2010,40,3,6,1,Alabama,2,47,35355,,,,
2010,40,3,6,1,Alabama,2,48,35658,,,,
2010,40,3,6,1,Alabama,2,49,36236,,,,
2010,40,3,6,1,Alabama,2,50,36387,,,,
2010,40,3,6,1,Alabama,2,51,35762,,,,
2010,40,3,6,1,Alabama,2,52,35970,,,,
2010,40,3,6,1,Alabama,2,53,36108,,,,
2010,40,3,6,1,Alabama,2,54,34902,,,,
2010,40,3,6,1,Alabama,2,55,34774,,,,
2010,40,3,6,1,Alabama,2,56,33942,,,,
2010,40,3,6,1,Alabama,2,57,32446,,,,
