STATE,Year,Population ,NAME,AGE,,,set_id,year,pieces,t1,descr
2,2010,4680,Alaska,20,,,,,,,
2,2010,4641,Alaska,21,,,,,,,
2,2010,4807,Alaska,22,,,,,,,
2,2010,4827,Alaska,23,,,,,,,
2,2010,5071,Alaska,24,,,,,,,
2,2010,5310,Alaska,25,,,,,,,
2,2010,5125,Alaska,26,,,,,,,
2,2010,5231,Alaska,27,,,,,,,
2,2010,5013,Alaska,28,,,,,,,
2,2010,4945,Alaska,29,,,,,,,
2,2010,4988,Alaska,30,,,,,,,
2,2010,4516,Alaska,31,,,,,,,
2,2010,4476,Alaska,32,,,,,,,
2,2010,4416,Alaska,33,,,,,,,
2,2010,4180,Alaska,34,,,,,,,
2,2010,4341,Alaska,35,,,,,,,
2,2010,4177,Alaska,36,,,,,,,
2,2010,4210,Alaska,37,,,,,,,
2,2010,4317,Alaska,38,,,,,,,
2,2010,4642,Alaska,39,,,,,,,
2,2010,4774,Alaska,40,,,,,,,
2,2010,4390,Alaska,41,,,,,,,
2,2010,4277,Alaska,42,,,,,,,
2,2010,4380,Alaska,43,,,,,,,
2,2010,4488,Alaska,44,,,,,,,
2,2010,4944,Alaska,45,,,,,,,
2,2010,5042,Alaska,46,,,,,,,
2,2010,5249,Alaska,47,,,,,,,
2,2010,5349,Alaska,48,,,,,,,
2,2010,5451,Alaska,49,,,,,,,
2,2010,5555,Alaska,50,,,,,,,
2,2010,5336,Alaska,51,,,,,,,
2,2010,5369,Alaska,52,,,,,,,
2,2010,5492,Alaska,53,,,,,,,
2,2010,5228,Alaska,54,,,,,,,
2,2010,5390,Alaska,55,,,,,,,
2,2010,4989,Alaska,56,,,,,,,
2,2010,4747,Alaska,57,,,,,,,
2,2010,4506,Alaska,58,,,,,,,
2,2010,4134,Alaska,59,,,,,,,
2,2010,3986,Alaska,60,,,,,,,
2,2010,3673,Alaska,61,,,,,,,
2,2010,3383,Alaska,62,,,,,,,
2,2010,3385,Alaska,63,,,,,,,
2,2010,2536,Alaska,64,,,,,,,
2,2010,2453,Alaska,65,,,,,,,
2,2010,2294,Alaska,66,,,,,,,
2,2010,2191,Alaska,67,,,,,,,
2,2010,1945,Alaska,68,,,,,,,
2,2010,1730,Alaska,69,,,,,,,
2,2010,1560,Alaska,70,,,,,,,
2,2010,1374,Alaska,71,,,,,,,
2,2010,1299,Alaska,72,,,,,,,
2,2010,1180,Alaska,73,,,,,,,
2,2010,1136,Alaska,74,,,,,,,
2,2010,1093,Alaska,75,,,,,,,
