Year,STATE,NAME,SEX,AGE,Population
2010,16,Idaho,2,6,11874
2010,17,Illinois,2,6,84327
2010,18,Indiana,2,6,43277
2010,19,Iowa,2,6,19626
2010,20,Kansas,2,6,20020
2010,21,Kentucky,2,6,27907
2010,22,Louisiana,2,6,30100
2010,23,Maine,2,6,7118
2010,24,Maryland,2,6,35931
2010,25,Massachusetts,2,6,37540
2010,26,Michigan,2,6,61813
2010,27,Minnesota,2,6,35455
2010,28,Mississippi,2,6,20082
2010,29,Missouri,2,6,38244
2010,30,Montana,2,6,5994
2010,31,Nebraska,2,6,12751
2010,32,Nevada,2,6,18032
2010,33,New Hampshire,2,6,7554
2010,34,New Jersey,2,6,55418
2010,35,New Mexico,2,6,14235
2010,36,New York,2,6,113544
2010,37,North Carolina,2,6,61944
2010,38,North Dakota,2,6,4084
2010,39,Ohio,2,6,72417
2010,40,Oklahoma,2,6,25562
2010,41,Oregon,2,6,23236
2010,42,Pennsylvania,2,6,73677
2010,44,Rhode Island,2,6,5914
2010,45,South Carolina,2,6,28987
2010,46,South Dakota,2,6,5626
2010,47,Tennessee,2,6,40308
2010,48,Texas,2,6,189995
2010,49,Utah,2,6,24901
2010,50,Vermont,2,6,3298
2010,51,Virginia,2,6,50433
2010,53,Washington,2,6,42151
2010,54,West Virginia,2,6,10348
2010,55,Wisconsin,2,6,36188
2010,56,Wyoming,2,6,3654
2010,1,Alabama,1,7,30903
2010,2,Alaska,1,7,5200
2010,4,Arizona,1,7,46137
2010,5,Arkansas,1,7,20125
2010,6,California,1,7,253901
2010,8,Colorado,1,7,35766
2010,9,Connecticut,1,7,22642
2010,10,Delaware,1,7,5766
2010,11,District of Columbia,1,7,2533
2010,12,Florida,1,7,108651
2010,13,Georgia,1,7,69981
2010,15,Hawaii,1,7,8749
2010,16,Idaho,1,7,12422
2010,17,Illinois,1,7,87208
2010,18,Indiana,1,7,45002
2010,19,Iowa,1,7,20387
2010,20,Kansas,1,7,20655
2010,21,Kentucky,1,7,28776
2010,22,Louisiana,1,7,30934
2010,23,Maine,1,7,7496
2010,24,Maryland,1,7,36865
2010,25,Massachusetts,1,7,39387
2010,26,Michigan,1,7,64260
2010,27,Minnesota,1,7,36281
2010,28,Mississippi,1,7,20716
2010,29,Missouri,1,7,39759
2010,30,Montana,1,7,6154
2010,31,Nebraska,1,7,13193
2010,32,Nevada,1,7,18608
2010,33,New Hampshire,1,7,7891
2010,34,New Jersey,1,7,57505
2010,35,New Mexico,1,7,14399
2010,36,New York,1,7,118492
2010,37,North Carolina,1,7,64236
2010,38,North Dakota,1,7,4087
2010,39,Ohio,1,7,75520
2010,40,Oklahoma,1,7,26602
2010,41,Oregon,1,7,24101
2010,42,Pennsylvania,1,7,76410
2010,44,Rhode Island,1,7,6123
2010,45,South Carolina,1,7,29559
2010,46,South Dakota,1,7,5685
2010,47,Tennessee,1,7,41598
2010,48,Texas,1,7,195937
2010,49,Utah,1,7,25737
2010,50,Vermont,1,7,3594
2010,51,Virginia,1,7,51714
2010,53,Washington,1,7,43372
2010,54,West Virginia,1,7,10818
2010,55,Wisconsin,1,7,37466
2010,56,Wyoming,1,7,3836
2010,1,Alabama,2,7,29710
2010,2,Alaska,2,7,4985
2010,4,Arizona,2,7,44367
2010,5,Arkansas,2,7,18979
2010,6,California,2,7,244360
2010,8,Colorado,2,7,34284
2010,9,Connecticut,2,7,21614
2010,10,Delaware,2,7,5517
2010,11,District of Columbia,2,7,2537
2010,12,Florida,2,7,104375
2010,13,Georgia,2,7,67619
2010,15,Hawaii,2,7,7987
2010,16,Idaho,2,7,11722
2010,17,Illinois,2,7,83543
2010,18,Indiana,2,7,43139
2010,19,Iowa,2,7,19585
2010,20,Kansas,2,7,19912
2010,21,Kentucky,2,7,27410
2010,22,Louisiana,2,7,29655
2010,23,Maine,2,7,7100
2010,24,Maryland,2,7,35627
2010,25,Massachusetts,2,7,37769
2010,26,Michigan,2,7,61408
2010,27,Minnesota,2,7,34537
2010,28,Mississippi,2,7,19751
2010,29,Missouri,2,7,37723
2010,30,Montana,2,7,5920
2010,31,Nebraska,2,7,12563
2010,32,Nevada,2,7,17675
2010,33,New Hampshire,2,7,7660
2010,34,New Jersey,2,7,54883
